公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地 区,省 份,城 市,所属行业,公司网址
300169,天晟新材,常州天晟新材料股份有限公司,"Changzhou Tiansheng New Materials Co., Ltd.",江苏省常州市龙锦路508号,300169,天晟新材,2011/1/25,"280,500,000","172,354,990",,,,0,0,华东,江苏,常州市,C 制造业,www.tschina.com
300170,汉得信息,上海汉得信息技术股份有限公司,"Hand Enterprise Solutions Co.,Ltd",上海市青浦工业园区外青松公路5500号303室,300170,汉得信息,2011/2/1,"536,369,756","392,364,436",,,,0,0,华东,上海,上海市,I 信息技术,www.hand-china.com
300171,东富龙,上海东富龙科技股份有限公司,"Shanghai Tofflon Science and Technology Co.,Ltd.",上海市闵行区放鹤路2199号,300171,东富龙,2011/2/1,"317,249,999","157,137,309",,,,0,0,华东,上海,上海市,C 制造业,www.tofflon.com
300172,中电环保,南京中电环保股份有限公司,"NANJING CEC ENVIRONMENTAL PROTECTION CO.,LTD.",江苏省南京市江宁开发区诚信大道1800号,300172,中电环保,2011/2/1,"169,000,000","102,245,595",,,,0,0,华东,江苏,南京市,N 公共环保,www.njcec.com
300173,松德股份,松德机械股份有限公司,"Sotech Machinery Co., Ltd.",广东省中山市南头镇南头大道东105号,300173,松德股份,2011/2/1,"113,230,000","81,495,866",,,,0,0,华南,广东,中山市,C 制造业,www.songde.com.cn
300174,元力股份,福建元力活性炭股份有限公司,"Fujian Yuanli Active Carbon Co.,Ltd.",福建省南平来舟经济开发区,300174,元力股份,2011/2/1,"136,000,000","65,944,388",,,,0,0,华东,福建,南平市,C 制造业,www.yuanlicarbon.com
300175,朗源股份,朗源股份有限公司,"Lontrue Co.,Limited",山东省龙口高新技术产业园区,300175,朗源股份,2011/2/15,"470,800,000","464,793,505",,,,0,0,华东,山东,烟台市,C 制造业,www.lontrue.com
300176,鸿特精密,广东鸿特精密技术股份有限公司,"Guangdong Hongteo Accurate Technology Co.,Ltd.",广东省肇庆市鼎湖城区北十区,300176,鸿特精密,2011/2/15,"107,280,000","107,280,000",,,,0,0,华南,广东,肇庆市,C 制造业,www.hongteo.com.cn
300177,中海达,广州中海达卫星导航技术股份有限公司,"Guangzhou Hi-Target Navigation Tech Co.,Ltd.",广东省广州市番禺区东环街番禺大道北555号天安总部中心13号厂房101,300177,中海达,2011/2/15,"403,897,600","235,584,832",,,,0,0,华南,广东,广州市,C 制造业,www.hi-target.com.cn
300178,腾邦国际,深圳市腾邦国际商业服务股份有限公司,Shenzhen Tempus Global Business Service Holding Ltd.,广东省深圳市福田保税区桃花路腾邦物流大厦5楼,300178,腾邦国际,2011/2/15,"244,660,000","153,920,000",,,,0,0,华南,广东,深圳市,L 商务服务,www.tempus.cn
300179,四方达,河南四方达超硬材料股份有限公司,"SF DIAMOND CO.,LTD.",河南省郑州市经济技术开发区第七大街151号,300179,四方达,2011/2/15,"216,000,000","133,011,268",,,,0,0,华中,河南,郑州市,C 制造业,www.sf-diamond.com.cn
300180,华峰超纤,上海华峰超纤材料股份有限公司,"Huafon Microfibre (Shanghai) CO.,LTD.",上海市金山区亭卫南路888号,300180,华峰超纤,2011/2/22,"158,000,000","113,863,075",,,,0,0,华东,上海,上海市,C 制造业,
